dates,stock,open,close,high,low,volume,category
2009-04-01,KO,43.7600,44.8600,44.9900,43.5000,10627400,Food
2009-03-31,KO,44.2700,43.9500,44.7200,43.8600,11918300,Food
2009-03-30,KO,44.5000,43.9200,44.6600,43.4300,11452900,Food
2009-03-27,KO,44.4300,45.1000,45.2000,44.4300,11551800,Food
2009-03-26,KO,44.9500,44.8500,45.0000,43.8200,13903900,Food
2009-03-25,KO,44.4000,44.7500,44.8900,44.0300,12242700,Food
2009-03-24,KO,43.6000,44.0200,44.3400,43.4100,10939400,Food
2009-03-23,KO,43.1600,44.1400,44.1400,43.0000,13250700,Food
2009-03-20,KO,42.3200,42.6400,43.1400,42.3100,19164400,Food
2009-03-19,KO,41.8500,42.1800,42.2500,41.8000,11388800,Food
2009-03-18,KO,41.3000,41.6500,42.2500,41.0000,14396400,Food
2009-03-17,KO,41.3400,41.4500,41.6700,40.8200,10120800,Food
2009-03-16,KO,41.4600,41.2700,42.0100,41.1200,11602000,Food
2009-03-13,KO,41.0800,41.2200,41.4500,40.4300,12198400,Food
2009-03-12,KO,39.5800,40.8400,40.8610,39.3500,12736800,Food
2009-03-11,KO,39.1600,39.5700,39.9500,39.0500,13627000,Food
2009-03-10,KO,39.6300,39.1600,39.6700,38.6500,17590700,Food
2009-03-09,KO,39.4800,38.7500,39.8700,38.7300,17563700,Food
2009-03-06,KO,38.2800,39.1000,39.2100,38.1000,16501200,Food
2009-03-05,KO,39.3800,37.8500,39.4400,37.4400,18232300,Food
2009-03-04,KO,39.2800,39.7300,40.3200,38.8400,16941700,Food
2009-03-03,KO,40.1000,38.8300,40.3000,38.7600,18632300,Food
2009-03-02,KO,40.2900,39.6900,40.7200,39.6200,15599500,Food
2009-02-27,KO,40.9600,40.8500,41.2950,40.4500,17724000,Food
2009-02-26,KO,42.7700,41.0700,42.7700,41.0100,10667000,Food
2009-02-25,KO,42.9400,42.3700,43.2800,42.1600,13174700,Food
2009-02-24,KO,42.7200,43.0600,43.2000,42.1900,13108000,Food
2009-02-23,KO,43.0200,42.0900,43.1900,41.9200,11730700,Food
2009-02-20,KO,42.9700,42.8400,43.4700,42.3800,15086600,Food
2009-02-19,KO,43.1100,43.3000,43.7200,42.6800,9906500,Food
2009-02-18,KO,42.7800,42.6800,43.0400,42.2500,9054100,Food
2009-02-17,KO,43.0000,42.6000,43.1900,42.4400,13210600,Food
2009-02-13,KO,44.2000,43.8500,44.3800,43.6900,11368200,Food
2009-02-12,KO,42.7500,44.3900,44.4500,42.1500,30613100,Food
2009-02-11,KO,41.0000,41.2700,41.5900,40.9600,10618700,Food
2009-02-10,KO,42.0100,40.6700,42.3100,40.2800,22744000,Food
2009-02-09,KO,43.3200,42.3100,43.3600,42.0000,9844200,Food
2009-02-06,KO,42.7300,43.5500,43.6900,42.6600,9361200,Food
2009-02-05,KO,42.2200,42.6900,42.8900,41.9100,11059900,Food
2009-02-04,KO,43.3500,42.4000,43.5500,42.2800,9153500,Food
2009-02-03,KO,42.5000,43.3200,43.5000,41.9800,8975000,Food
2009-02-02,KO,42.2900,42.2400,42.5000,41.5300,7983400,Food
2009-01-30,KO,43.4400,42.7200,43.6800,42.5300,11303700,Food
2009-01-29,KO,43.7000,43.5500,44.4900,43.3400,10629200,Food
2009-01-28,KO,44.0000,43.8600,44.0000,43.2500,9281800,Food
