dates,stock,open,close,high,low,volume,category
2020-03-30,NFLX,363.0000,370.9600,377.8000,361.1700,8566779,Entertainment
2020-03-27,NFLX,359.0900,357.1200,368.5600,353.0000,7948775,Entertainment
2020-03-26,NFLX,344.0000,362.9900,363.8400,341.7300,7235016,Entertainment
2020-03-25,NFLX,361.0200,342.3900,362.0000,339.1700,8767171,Entertainment
2020-03-24,NFLX,369.9900,357.3200,372.9300,353.0301,11638683,Entertainment
2020-03-23,NFLX,347.8900,360.2700,366.1100,340.8838,13449378,Entertainment
2020-03-20,NFLX,342.3100,332.8300,350.4900,332.0000,10853846,Entertainment
2020-03-19,NFLX,324.3300,332.0300,348.5100,316.8200,10615957,Entertainment
2020-03-18,NFLX,302.3950,315.4700,331.5794,300.0000,12560908,Entertainment
2020-03-17,NFLX,306.1800,319.7500,322.9000,290.2500,10013913,Entertainment
2020-03-16,NFLX,306.6300,298.8400,334.3500,294.7500,10559940,Entertainment
2020-03-13,NFLX,330.5100,336.2950,336.4200,307.3900,9458197,Entertainment
2020-03-12,NFLX,326.5000,315.2500,335.7200,307.3200,12071591,Entertainment
2020-03-11,NFLX,358.9200,349.9200,362.9800,344.7900,6058782,Entertainment
2020-03-10,NFLX,356.4250,364.1300,364.5400,347.8500,7604444,Entertainment
2020-03-09,NFLX,343.8600,346.4900,357.4700,341.7209,7405458,Entertainment
2020-03-06,NFLX,367.7000,368.9700,371.3100,356.8500,8147165,Entertainment
2020-03-05,NFLX,381.0000,372.7800,391.4000,368.6401,8746985,Entertainment
2020-03-04,NFLX,377.7700,383.7900,384.0100,370.5100,5487340,Entertainment
2020-03-03,NFLX,381.0300,368.7700,393.5200,367.4000,8364623,Entertainment
2020-03-02,NFLX,373.1100,381.0500,381.3600,364.5020,6997891,Entertainment
2020-02-28,NFLX,364.2100,369.0300,376.7700,356.8000,11178572,Entertainment
2020-02-27,NFLX,371.4600,371.7100,391.5624,370.5962,10967699,Entertainment
2020-02-26,NFLX,366.3100,379.2400,382.0000,365.0000,8961126,Entertainment
2020-02-25,NFLX,372.0000,360.0900,375.6500,357.7200,6481243,Entertainment
2020-02-24,NFLX,364.7600,368.7000,372.8200,361.0000,6936418,Entertainment
2020-02-21,NFLX,385.3300,380.0700,387.3200,377.9008,3935618,Entertainment
2020-02-20,NFLX,386.5600,386.0000,389.7000,376.6800,4079425,Entertainment
2020-02-19,NFLX,388.1200,386.1900,392.9500,384.9000,4896368,Entertainment
2020-02-18,NFLX,379.3000,387.7800,389.5400,379.1900,5180400,Entertainment
2020-02-14,NFLX,381.4700,380.4000,385.1500,379.4342,3736266,Entertainment
2020-02-13,NFLX,376.9600,381.4000,385.3700,376.5100,4485383,Entertainment
2020-02-12,NFLX,377.1800,380.0100,380.6200,375.8800,4624772,Entertainment
2020-02-11,NFLX,373.7500,373.6900,378.1100,369.7200,4772870,Entertainment
2020-02-10,NFLX,365.0000,371.0700,374.8000,362.5200,5294138,Entertainment
2020-02-07,NFLX,365.0400,366.7700,371.8000,363.5700,4385227,Entertainment
2020-02-06,NFLX,369.6000,366.9500,371.5499,362.5050,3920428,Entertainment
2020-02-05,NFLX,375.1250,369.6700,375.2500,362.3000,6437026,Entertainment
2020-02-04,NFLX,361.0000,369.0100,369.5700,356.0964,7161451,Entertainment
2020-02-03,NFLX,347.2400,358.0000,359.6300,346.2800,6674885,Entertainment
2020-01-31,NFLX,347.3900,345.0900,347.3900,340.9800,5230001,Entertainment
2020-01-30,NFLX,341.1000,347.7400,348.2000,339.2500,5328136,Entertainment
2020-01-29,NFLX,349.0000,343.1600,349.4000,338.5500,7649183,Entertainment
2020-01-28,NFLX,345.8800,348.5200,352.4000,342.7800,6821581,Entertainment
2020-01-27,NFLX,345.9500,342.8800,351.9000,341.0200,7709482,Entertainment
2020-01-24,NFLX,348.4600,353.1600,359.8500,345.8800,17939681,Entertainment
2020-01-23,NFLX,326.0400,349.6000,349.8800,325.0100,18200293,Entertainment
2020-01-22,NFLX,332.5500,326.0000,336.3000,323.6000,21729959,Entertainment
2020-01-21,NFLX,340.0000,338.1100,341.0000,332.5900,12705288,Entertainment
2020-01-17,NFLX,341.0000,339.6700,341.5700,337.3800,6066547,Entertainment
2020-01-16,NFLX,343.5000,338.6200,343.5550,335.8500,5015997,Entertainment
2020-01-15,NFLX,338.6800,339.0700,343.1700,336.6000,5158035,Entertainment
2020-01-14,NFLX,344.4000,338.6900,345.3800,335.5200,7201544,Entertainment
2020-01-13,NFLX,331.8000,338.9200,340.8500,331.5100,6216564,Entertainment
2020-01-10,NFLX,337.1300,329.0500,338.5000,327.2700,4720540,Entertainment
2020-01-09,NFLX,342.0000,335.6600,343.4196,334.6101,4717430,Entertainment
2020-01-08,NFLX,331.4900,339.2600,342.7000,331.0500,7109117,Entertainment
2020-01-07,NFLX,336.4700,330.7500,336.7000,330.3000,4742458,Entertainment
2020-01-06,NFLX,323.1200,335.8300,336.3600,321.2000,5668577,Entertainment
2020-01-03,NFLX,326.7800,325.9000,329.8599,325.5300,3795466,Entertainment
2020-01-02,NFLX,326.1000,329.8100,329.9800,324.7800,4348493,Entertainment
2019-12-31,NFLX,322.0000,323.5700,324.9160,321.0900,3714837,Entertainment
2019-12-30,NFLX,329.0800,323.3100,329.1850,322.8600,4315267,Entertainment
2019-12-27,NFLX,332.9600,329.0900,333.8200,326.0100,5037156,Entertainment
2019-12-26,NFLX,334.6000,332.6300,336.4623,332.0100,3595854,Entertainment
2019-12-24,NFLX,334.0100,333.2000,335.7000,331.6000,2019322,Entertainment
2019-12-23,NFLX,337.7600,333.1000,337.9500,331.0201,5767937,Entertainment
2019-12-20,NFLX,335.0000,336.9000,338.0000,330.6000,9923260,Entertainment
2019-12-19,NFLX,324.5000,332.2200,332.8300,324.1800,9833355,Entertainment
2019-12-18,NFLX,316.2600,320.8000,325.3600,315.6000,11210737,Entertainment
2019-12-17,NFLX,307.3600,315.4800,316.8000,306.6000,10437127,Entertainment
2019-12-16,NFLX,300.8500,304.2100,305.7100,298.6300,4660166,Entertainment
2019-12-13,NFLX,298.5000,298.5000,301.8000,297.2500,3883069,Entertainment
2019-12-12,NFLX,295.6700,298.4400,299.1650,295.0600,4771404,Entertainment
2019-12-11,NFLX,294.4900,298.9300,299.4300,294.2000,5607155,Entertainment
2019-12-10,NFLX,296.1200,293.1200,298.9400,292.0200,10481239,Entertainment
2019-12-09,NFLX,307.3500,302.5000,311.4900,302.4400,5766006,Entertainment
2019-12-06,NFLX,304.7000,307.3500,307.8495,302.6000,4459684,Entertainment
2019-12-05,NFLX,305.2700,302.8600,306.4800,298.8100,4618867,Entertainment
2019-12-04,NFLX,308.4300,304.3200,308.4300,303.2727,3513551,Entertainment
2019-12-03,NFLX,302.2200,306.1600,307.3600,301.8800,5272447,Entertainment
2019-12-02,NFLX,314.3900,309.9900,314.3900,303.7500,6223135,Entertainment
2019-11-29,NFLX,315.7800,314.6600,316.6200,313.3400,2411749,Entertainment
2019-11-27,NFLX,313.9300,315.9300,316.8200,312.7500,4100975,Entertainment
2019-11-26,NFLX,315.0000,312.4900,316.5000,311.6900,5328348,Entertainment
2019-11-25,NFLX,308.8300,315.5500,315.7300,305.2500,7878943,Entertainment
2019-11-22,NFLX,309.1000,310.4800,311.4000,304.4100,5970056,Entertainment
2019-11-21,NFLX,306.0000,311.6900,312.6900,304.2622,7488373,Entertainment
2019-11-20,NFLX,301.0100,305.1600,308.2500,301.0000,5115546,Entertainment
2019-11-19,NFLX,304.0100,302.6000,305.6699,298.5201,5919710,Entertainment
2019-11-18,NFLX,296.0000,302.5700,304.9900,293.2800,8621566,Entertainment
2019-11-15,NFLX,290.5900,295.0300,295.8186,287.5680,6337779,Entertainment
2019-11-14,NFLX,283.2500,289.6200,290.6300,283.2200,6539771,Entertainment
2019-11-13,NFLX,291.0300,283.1100,293.4100,281.1400,9233066,Entertainment
2019-11-12,NFLX,295.3200,292.0100,295.3450,288.7000,5774833,Entertainment
